grad,datum,sat,knn_pm2_5,knn_aqi,lstm_pm2_5,lstm_aqi
Valjevo,2026-06-06,00:00,9.65,Prihvatljiv,9.52,Prihvatljiv
Valjevo,2026-06-06,01:00,9.25,Prihvatljiv,9.19,Prihvatljiv
Valjevo,2026-06-06,02:00,9.07,Prihvatljiv,9.05,Prihvatljiv
Valjevo,2026-06-06,03:00,8.95,Prihvatljiv,8.8,Prihvatljiv
Valjevo,2026-06-06,04:00,8.56,Prihvatljiv,8.28,Prihvatljiv
Valjevo,2026-06-06,05:00,8.08,Prihvatljiv,7.59,Prihvatljiv
Valjevo,2026-06-06,06:00,7.23,Prihvatljiv,7.02,Prihvatljiv
Valjevo,2026-06-06,07:00,7.12,Prihvatljiv,6.65,Prihvatljiv
Valjevo,2026-06-06,08:00,6.91,Prihvatljiv,6.47,Prihvatljiv
Valjevo,2026-06-06,09:00,7.34,Prihvatljiv,6.41,Prihvatljiv
Valjevo,2026-06-06,10:00,7.46,Prihvatljiv,6.49,Prihvatljiv
Valjevo,2026-06-06,11:00,7.38,Prihvatljiv,6.63,Prihvatljiv
Valjevo,2026-06-06,12:00,7.54,Prihvatljiv,6.78,Prihvatljiv
Valjevo,2026-06-06,13:00,7.39,Prihvatljiv,6.9,Prihvatljiv
Valjevo,2026-06-06,14:00,7.13,Prihvatljiv,7.01,Prihvatljiv
Valjevo,2026-06-06,15:00,6.95,Prihvatljiv,7.04,Prihvatljiv
Valjevo,2026-06-06,16:00,6.68,Prihvatljiv,7.11,Prihvatljiv
Valjevo,2026-06-06,17:00,6.87,Prihvatljiv,7.24,Prihvatljiv
Valjevo,2026-06-06,18:00,7.49,Prihvatljiv,7.43,Prihvatljiv
Valjevo,2026-06-06,19:00,7.95,Prihvatljiv,7.74,Prihvatljiv
Valjevo,2026-06-06,20:00,8.76,Prihvatljiv,8.06,Prihvatljiv
Valjevo,2026-06-06,21:00,9.1,Prihvatljiv,8.39,Prihvatljiv
Valjevo,2026-06-06,22:00,9.27,Prihvatljiv,8.52,Prihvatljiv
Valjevo,2026-06-06,23:00,9.31,Prihvatljiv,8.58,Prihvatljiv
